Image_ID,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Humanscale2,Order,Order2
1,0.266666666666667,0.262295081967213,0.277777777777778,0.241379310344828,0.278688524590164,0.375,0.233333333333333,0.428571428571429,0.254237288135593,0.222222222222222
2,0.716666666666667,0.704918032786885,0.722222222222222,0.844827586206897,0.19672131147541,0.589285714285714,0.2,0.160714285714286,0.355932203389831,0.349206349206349
3,0.333333333333333,0.327868852459016,0.296296296296296,0.5,0.475409836065574,0.785714285714286,0.383333333333333,0.285714285714286,0.288135593220339,0.301587301587302
4,0.566666666666667,0.60655737704918,0.592592592592593,0.689655172413793,0.377049180327869,0.696428571428571,0.316666666666667,0.321428571428571,0.440677966101695,0.26984126984127
5,0.166666666666667,0.295081967213115,0.259259259259259,0.5,0.131147540983607,0.142857142857143,0.233333333333333,0.160714285714286,0.220338983050847,0.46031746031746
6,0.55,0.59016393442623,0.666666666666667,0.551724137931034,0.262295081967213,0.410714285714286,0.116666666666667,0.285714285714286,0.288135593220339,0.317460317460317
7,0.166666666666667,0.262295081967213,0.222222222222222,0.327586206896552,0.409836065573771,0.267857142857143,0.333333333333333,0.357142857142857,0.508474576271186,0.349206349206349
8,0.116666666666667,0.147540983606557,0.166666666666667,0.379310344827586,0.245901639344262,0.625,0.2,0.142857142857143,0.288135593220339,0.666666666666667
9,0.133333333333333,0.19672131147541,0.222222222222222,0.46551724137931,0.262295081967213,0.732142857142857,0.233333333333333,0.482142857142857,0.288135593220339,0.492063492063492
10,0.116666666666667,0.19672131147541,0.277777777777778,0.0862068965517241,0.213114754098361,0.125,0.416666666666667,0.5,0.457627118644068,0.174603174603175
11,0.316666666666667,0.262295081967213,0.222222222222222,0.189655172413793,0.278688524590164,0.0535714285714286,0.333333333333333,0.625,0.389830508474576,0.19047619047619
12,0.133333333333333,0.131147540983607,0.203703703703704,0.344827586206897,0.19672131147541,0.785714285714286,0.35,0.517857142857143,0.288135593220339,0.650793650793651
13,0.2,0.295081967213115,0.240740740740741,0.310344827586207,0.278688524590164,0.0357142857142857,0.383333333333333,0.285714285714286,0.389830508474576,0.174603174603175
14,0.183333333333333,0.245901639344262,0.185185185185185,0.258620689655172,0.163934426229508,0.357142857142857,0.15,0.303571428571429,0.152542372881356,0.682539682539683
15,0.283333333333333,0.0983606557377049,0.185185185185185,0.396551724137931,0.114754098360656,0.5,0.283333333333333,0.25,0.322033898305085,0.507936507936508
16,0.1,0.114754098360656,0.12962962962963,0.120689655172414,0.19672131147541,0.339285714285714,0.15,0.392857142857143,0.220338983050847,0.333333333333333
17,0.183333333333333,0.377049180327869,0.333333333333333,0.258620689655172,0.213114754098361,0.0535714285714286,0.183333333333333,0.357142857142857,0.525423728813559,0.238095238095238
18,0.45,0.39344262295082,0.407407407407407,0.396551724137931,0.180327868852459,0.339285714285714,0.133333333333333,0.0892857142857143,0.203389830508475,0.396825396825397
19,0.466666666666667,0.39344262295082,0.277777777777778,0.189655172413793,0.163934426229508,0.0714285714285714,0.283333333333333,0.214285714285714,0.406779661016949,0.142857142857143
20,0.583333333333333,0.377049180327869,0.296296296296296,0.258620689655172,0.262295081967213,0.214285714285714,0.183333333333333,0.232142857142857,0.440677966101695,0.0952380952380952
21,0.1,0.163934426229508,0.037037037037037,0.224137931034483,0.180327868852459,0.5,0.266666666666667,0.410714285714286,0.305084745762712,0.396825396825397
22,0.25,0.213114754098361,0.166666666666667,0.172413793103448,0.163934426229508,0.285714285714286,0.216666666666667,0.392857142857143,0.322033898305085,0.333333333333333
23,0.283333333333333,0.180327868852459,0.12962962962963,0.310344827586207,0.114754098360656,0.303571428571429,0.333333333333333,0.321428571428571,0.372881355932203,0.492063492063492
24,0.183333333333333,0.229508196721311,0.12962962962963,0.0517241379310345,0.311475409836066,0.107142857142857,0.4,0.392857142857143,0.203389830508475,0.428571428571429
25,0.233333333333333,0.213114754098361,0.259259259259259,0.224137931034483,0.163934426229508,0.321428571428571,0.416666666666667,0.392857142857143,0.254237288135593,0.333333333333333
26,0.3,0.295081967213115,0.351851851851852,0.379310344827586,0.344262295081967,0.357142857142857,0.45,0.392857142857143,0.338983050847458,0.19047619047619
27,0.25,0.245901639344262,0.240740740740741,0.344827586206897,0.262295081967213,0.607142857142857,0.366666666666667,0.464285714285714,0.305084745762712,0.507936507936508
28,0.3,0.491803278688525,0.314814814814815,0.155172413793103,0.147540983606557,0.0892857142857143,0.25,0.267857142857143,0.254237288135593,0.222222222222222
29,0.316666666666667,0.327868852459016,0.296296296296296,0.293103448275862,0.344262295081967,0.160714285714286,0.333333333333333,0.25,0.355932203389831,0.142857142857143
30,0.566666666666667,0.39344262295082,0.388888888888889,0.155172413793103,0.245901639344262,0.0178571428571429,0.383333333333333,0.160714285714286,0.457627118644068,0.158730158730159
31,0.583333333333333,0.737704918032787,0.611111111111111,0.379310344827586,0.344262295081967,0.107142857142857,0.266666666666667,0.339285714285714,0.474576271186441,0.126984126984127
32,0.3,0.442622950819672,0.333333333333333,0.413793103448276,0.311475409836066,0.125,0.366666666666667,0.214285714285714,0.423728813559322,0.26984126984127
33,0.3,0.327868852459016,0.314814814814815,0.413793103448276,0.245901639344262,0.678571428571429,0.65,0.232142857142857,0.355932203389831,0.238095238095238
34,0.25,0.229508196721311,0.481481481481481,0.551724137931034,0.557377049180328,0.517857142857143,0.416666666666667,0.196428571428571,0.305084745762712,0.444444444444444
35,0.316666666666667,0.459016393442623,0.333333333333333,0.46551724137931,0.327868852459016,0.553571428571429,0.366666666666667,0.178571428571429,0.491525423728814,0.285714285714286
36,0.316666666666667,0.377049180327869,0.537037037037037,0.551724137931034,0.573770491803279,0.535714285714286,0.333333333333333,0.339285714285714,0.406779661016949,0.253968253968254
37,0.266666666666667,0.131147540983607,0.166666666666667,0.172413793103448,0.180327868852459,0.214285714285714,0.283333333333333,0.125,0.372881355932203,0.301587301587302
38,0.6,0.459016393442623,0.481481481481481,0.344827586206897,0.262295081967213,0.357142857142857,0.283333333333333,0.375,0.389830508474576,0.349206349206349
39,0.683333333333333,0.622950819672131,0.37037037037037,0.482758620689655,0.655737704918033,0.482142857142857,0.4,0.553571428571429,0.338983050847458,0.158730158730159
40,0.55,0.475409836065574,0.537037037037037,0.413793103448276,0.327868852459016,0.160714285714286,0.266666666666667,0.107142857142857,0.474576271186441,0.142857142857143
41,0.483333333333333,0.672131147540984,0.444444444444444,0.258620689655172,0.327868852459016,0.107142857142857,0.533333333333333,0.107142857142857,0.525423728813559,0.126984126984127
42,0.666666666666667,0.688524590163934,0.462962962962963,0.293103448275862,0.59016393442623,0.142857142857143,0.45,0.375,0.423728813559322,0.111111111111111
43,0.233333333333333,0.295081967213115,0.240740740740741,0.0689655172413793,0.524590163934426,0.142857142857143,0.366666666666667,0.303571428571429,0.525423728813559,0.126984126984127
44,0.566666666666667,0.655737704918033,0.296296296296296,0.224137931034483,0.540983606557377,0.125,0.366666666666667,0.178571428571429,0.423728813559322,0.0793650793650794
45,0.483333333333333,0.573770491803279,0.666666666666667,0.413793103448276,0.377049180327869,0.196428571428571,0.416666666666667,0.392857142857143,0.406779661016949,0.142857142857143
46,0.383333333333333,0.442622950819672,0.314814814814815,0.275862068965517,0.524590163934426,0.375,0.416666666666667,0.732142857142857,0.423728813559322,0.333333333333333
47,0.533333333333333,0.311475409836066,0.296296296296296,0.362068965517241,0.19672131147541,0.178571428571429,0.266666666666667,0.178571428571429,0.389830508474576,0.285714285714286
48,0.233333333333333,0.213114754098361,0.166666666666667,0.0344827586206897,0.163934426229508,0.428571428571429,0.216666666666667,0.5,0.288135593220339,0.111111111111111
49,0.5,0.508196721311475,0.481481481481481,0.137931034482759,0.147540983606557,0.125,0.316666666666667,0.0178571428571429,0.525423728813559,0.0793650793650794
50,0.3,0.344262295081967,0.611111111111111,0.482758620689655,0.557377049180328,0.178571428571429,0.416666666666667,0.428571428571429,0.355932203389831,0.333333333333333
51,0.1,0.229508196721311,0.185185185185185,0.103448275862069,0.459016393442623,0.107142857142857,0.333333333333333,0.446428571428571,0.491525423728814,0.206349206349206
52,0.433333333333333,0.278688524590164,0.407407407407407,0.224137931034483,0.409836065573771,0.428571428571429,0.283333333333333,0.375,0.372881355932203,0.206349206349206
53,0.4,0.409836065573771,0.296296296296296,0.517241379310345,0.639344262295082,0.303571428571429,0.4,0.357142857142857,0.203389830508475,0.53968253968254
54,0.383333333333333,0.459016393442623,0.537037037037037,0.362068965517241,0.672131147540984,0.303571428571429,0.333333333333333,0.410714285714286,0.338983050847458,0.158730158730159
55,0.416666666666667,0.39344262295082,0.37037037037037,0.224137931034483,0.573770491803279,0.0892857142857143,0.35,0.464285714285714,0.203389830508475,0.26984126984127
56,0.65,0.573770491803279,0.444444444444444,0.46551724137931,0.19672131147541,0.178571428571429,0.35,0.196428571428571,0.372881355932203,0.238095238095238
57,0.733333333333333,0.639344262295082,0.62962962962963,0.5,0.311475409836066,0.321428571428571,0.233333333333333,0.410714285714286,0.406779661016949,0.333333333333333
58,0.5,0.327868852459016,0.462962962962963,0.413793103448276,0.557377049180328,0.285714285714286,0.483333333333333,0.482142857142857,0.186440677966102,0.492063492063492
59,0.716666666666667,0.622950819672131,0.685185185185185,0.603448275862069,0.262295081967213,0.696428571428571,0.4,0.607142857142857,0.491525423728814,0.492063492063492
60,0.2,0.19672131147541,0.203703703703704,0.224137931034483,0.622950819672131,0.267857142857143,0.416666666666667,0.446428571428571,0.220338983050847,0.349206349206349
61,0.55,0.557377049180328,0.62962962962963,0.344827586206897,0.131147540983607,0.25,0.183333333333333,0.410714285714286,0.305084745762712,0.253968253968254
62,0.733333333333333,0.622950819672131,0.611111111111111,0.517241379310345,0.409836065573771,0.160714285714286,0.283333333333333,0.303571428571429,0.322033898305085,0.238095238095238
63,0.716666666666667,0.704918032786885,0.740740740740741,0.655172413793103,0.639344262295082,0.553571428571429,0.533333333333333,0.589285714285714,0.406779661016949,0.333333333333333
64,0.75,0.688524590163934,0.592592592592593,0.413793103448276,0.59016393442623,0.232142857142857,0.483333333333333,0.696428571428571,0.322033898305085,0.126984126984127
65,0.116666666666667,0.163934426229508,0.111111111111111,0.431034482758621,0.327868852459016,0.589285714285714,0.516666666666667,0.196428571428571,0.169491525423729,0.492063492063492
66,0.266666666666667,0.147540983606557,0.333333333333333,0.396551724137931,0.147540983606557,0.803571428571429,0.4,0.464285714285714,0.23728813559322,0.46031746031746
67,0.266666666666667,0.278688524590164,0.259259259259259,0.586206896551724,0.0983606557377049,0.392857142857143,0.383333333333333,0.232142857142857,0.254237288135593,0.396825396825397
68,0.45,0.262295081967213,0.333333333333333,0.53448275862069,0.278688524590164,0.375,0.383333333333333,0.142857142857143,0.440677966101695,0.253968253968254
69,0.45,0.39344262295082,0.5,0.448275862068966,0.278688524590164,0.5,0.466666666666667,0.517857142857143,0.423728813559322,0.365079365079365
70,0.433333333333333,0.426229508196721,0.425925925925926,0.344827586206897,0.540983606557377,0.553571428571429,0.366666666666667,0.517857142857143,0.389830508474576,0.333333333333333
71,0.266666666666667,0.180327868852459,0.185185185185185,0.0862068965517241,0.311475409836066,0.107142857142857,0.266666666666667,0.410714285714286,0.338983050847458,0.317460317460317
72,0.75,0.508196721311475,0.555555555555556,0.275862068965517,0.557377049180328,0.392857142857143,0.416666666666667,0.553571428571429,0.542372881355932,0.428571428571429
73,0.1,0.131147540983607,0.185185185185185,0.0344827586206897,0.459016393442623,0.0714285714285714,0.416666666666667,0.339285714285714,0.23728813559322,0.317460317460317
74,0.383333333333333,0.360655737704918,0.277777777777778,0.224137931034483,0.311475409836066,0.339285714285714,0.283333333333333,0.214285714285714,0.423728813559322,0.253968253968254
75,0.133333333333333,0.147540983606557,0.185185185185185,0.137931034482759,0.311475409836066,0.25,0.183333333333333,0.142857142857143,0.169491525423729,0.428571428571429
76,0.383333333333333,0.278688524590164,0.203703703703704,0.293103448275862,0.180327868852459,0.232142857142857,0.266666666666667,0.0892857142857143,0.322033898305085,0.253968253968254
77,0.0833333333333333,0.0819672131147541,0.12962962962963,0.310344827586207,0.245901639344262,0.625,0.35,0.410714285714286,0.254237288135593,0.666666666666667
78,0.466666666666667,0.442622950819672,0.314814814814815,0.241379310344828,0.131147540983607,0.178571428571429,0.333333333333333,0.125,0.355932203389831,0.142857142857143
79,0.2,0.213114754098361,0.12962962962963,0.362068965517241,0.311475409836066,0.428571428571429,0.383333333333333,0.232142857142857,0.152542372881356,0.46031746031746
80,0.133333333333333,0.213114754098361,0.314814814814815,0.0862068965517241,0.213114754098361,0.142857142857143,0.183333333333333,0.267857142857143,0.338983050847458,0.253968253968254
81,0.266666666666667,0.180327868852459,0.296296296296296,0.362068965517241,0.213114754098361,0.321428571428571,0.216666666666667,0.214285714285714,0.203389830508475,0.412698412698413
82,0.366666666666667,0.19672131147541,0.203703703703704,0.103448275862069,0.39344262295082,0.0535714285714286,0.233333333333333,0.589285714285714,0.389830508474576,0.222222222222222
83,0.166666666666667,0.180327868852459,0.12962962962963,0.0689655172413793,0.491803278688525,0.232142857142857,0.466666666666667,0.517857142857143,0.0847457627118644,0.380952380952381
84,0.45,0.377049180327869,0.203703703703704,0.0862068965517241,0.229508196721311,0.160714285714286,0.133333333333333,0.107142857142857,0.338983050847458,0.285714285714286
85,0.616666666666667,0.442622950819672,0.666666666666667,0.655172413793103,0.459016393442623,0.625,0.233333333333333,0.410714285714286,0.305084745762712,0.396825396825397
86,0.566666666666667,0.655737704918033,0.555555555555556,0.293103448275862,0.442622950819672,0.303571428571429,0.3,0.625,0.457627118644068,0.26984126984127
87,0.216666666666667,0.311475409836066,0.333333333333333,0.224137931034483,0.377049180327869,0.125,0.266666666666667,0.410714285714286,0.406779661016949,0.317460317460317
88,0.533333333333333,0.377049180327869,0.462962962962963,0.5,0.491803278688525,0.767857142857143,0.366666666666667,0.464285714285714,0.220338983050847,0.444444444444444
89,0.416666666666667,0.426229508196721,0.407407407407407,0.310344827586207,0.622950819672131,0.303571428571429,0.383333333333333,0.571428571428571,0.423728813559322,0.206349206349206
90,0.3,0.360655737704918,0.351851851851852,0.275862068965517,0.213114754098361,0.321428571428571,0.216666666666667,0.232142857142857,0.288135593220339,0.380952380952381
91,0.15,0.213114754098361,0.296296296296296,0.413793103448276,0.59016393442623,0.375,0.266666666666667,0.196428571428571,0.355932203389831,0.444444444444444
92,0.5,0.524590163934426,0.611111111111111,0.689655172413793,0.278688524590164,0.625,0.316666666666667,0.107142857142857,0.322033898305085,0.317460317460317
93,0.766666666666667,0.721311475409836,0.62962962962963,0.344827586206897,0.262295081967213,0.0357142857142857,0.45,0.232142857142857,0.355932203389831,0.238095238095238
94,0.216666666666667,0.131147540983607,0.296296296296296,0.448275862068966,0.459016393442623,0.785714285714286,0.4,0.607142857142857,0.23728813559322,0.507936507936508
95,0.633333333333333,0.754098360655738,0.685185185185185,0.431034482758621,0.721311475409836,0.107142857142857,0.433333333333333,0.535714285714286,0.322033898305085,0.126984126984127
96,0.35,0.278688524590164,0.185185185185185,0.224137931034483,0.213114754098361,0.142857142857143,0.35,0.107142857142857,0.423728813559322,0.26984126984127
97,0.183333333333333,0.114754098360656,0.0925925925925926,0.258620689655172,0.344262295081967,0.0535714285714286,0.3,0.178571428571429,0.186440677966102,0.46031746031746
98,0.3,0.229508196721311,0.185185185185185,0.0689655172413793,0.573770491803279,0.0178571428571429,0.2,0.5,0.288135593220339,0.158730158730159
99,0.7,0.573770491803279,0.407407407407407,0.172413793103448,0.409836065573771,0.0714285714285714,0.333333333333333,0.232142857142857,0.457627118644068,0.206349206349206
100,0.666666666666667,0.557377049180328,0.5,0.310344827586207,0.491803278688525,0.0535714285714286,0.366666666666667,0.464285714285714,0.457627118644068,0.126984126984127
101,0.416666666666667,0.39344262295082,0.444444444444444,0.568965517241379,0.278688524590164,0.339285714285714,0.45,0.267857142857143,0.322033898305085,0.444444444444444
102,0.833333333333333,0.655737704918033,0.722222222222222,0.603448275862069,0.311475409836066,0.428571428571429,0.283333333333333,0.214285714285714,0.338983050847458,0.19047619047619
103,0.483333333333333,0.60655737704918,0.703703703703704,0.827586206896552,0.114754098360656,0.553571428571429,0.283333333333333,0.160714285714286,0.254237288135593,0.428571428571429
104,0.333333333333333,0.360655737704918,0.37037037037037,0.293103448275862,0.245901639344262,0.25,0.15,0.357142857142857,0.610169491525424,0.111111111111111
105,0.583333333333333,0.557377049180328,0.444444444444444,0.310344827586207,0.573770491803279,0.303571428571429,0.516666666666667,0.696428571428571,0.372881355932203,0.301587301587302
106,0.316666666666667,0.311475409836066,0.314814814814815,0.293103448275862,0.213114754098361,0.357142857142857,0.516666666666667,0.321428571428571,0.474576271186441,0.174603174603175
107,0.333333333333333,0.475409836065574,0.481481481481481,0.46551724137931,0.147540983606557,0.392857142857143,0.383333333333333,0.285714285714286,0.525423728813559,0.174603174603175
108,0.166666666666667,0.213114754098361,0.37037037037037,0.258620689655172,0.311475409836066,0.357142857142857,0.516666666666667,0.410714285714286,0.203389830508475,0.571428571428571
109,0.45,0.426229508196721,0.481481481481481,0.327586206896552,0.459016393442623,0.428571428571429,0.333333333333333,0.446428571428571,0.372881355932203,0.365079365079365
110,0.666666666666667,0.655737704918033,0.611111111111111,0.568965517241379,0.524590163934426,0.696428571428571,0.416666666666667,0.482142857142857,0.305084745762712,0.412698412698413
111,0.233333333333333,0.114754098360656,0.277777777777778,0.431034482758621,0.114754098360656,0.232142857142857,0.2,0.25,0.11864406779661,0.365079365079365
112,0.283333333333333,0.508196721311475,0.444444444444444,0.413793103448276,0.688524590163934,0.678571428571429,0.383333333333333,0.696428571428571,0.271186440677966,0.365079365079365
113,0.516666666666667,0.540983606557377,0.518518518518518,0.362068965517241,0.508196721311475,0.196428571428571,0.45,0.535714285714286,0.423728813559322,0.174603174603175
114,0.816666666666667,0.721311475409836,0.648148148148148,0.327586206896552,0.39344262295082,0.178571428571429,0.3,0.214285714285714,0.440677966101695,0.0793650793650794
115,0.616666666666667,0.655737704918033,0.537037037037037,0.482758620689655,0.459016393442623,0.517857142857143,0.333333333333333,0.303571428571429,0.406779661016949,0.317460317460317
116,0.583333333333333,0.672131147540984,0.574074074074074,0.413793103448276,0.59016393442623,0.339285714285714,0.433333333333333,0.267857142857143,0.440677966101695,0.126984126984127
117,0.733333333333333,0.655737704918033,0.611111111111111,0.413793103448276,0.639344262295082,0.196428571428571,0.4,0.553571428571429,0.423728813559322,0.365079365079365
118,0.616666666666667,0.622950819672131,0.481481481481481,0.379310344827586,0.60655737704918,0.142857142857143,0.583333333333333,0.660714285714286,0.457627118644068,0.26984126984127
119,0.733333333333333,0.639344262295082,0.537037037037037,0.448275862068966,0.60655737704918,0.196428571428571,0.25,0.660714285714286,0.457627118644068,0.158730158730159
120,0.6,0.59016393442623,0.425925925925926,0.310344827586207,0.229508196721311,0.0892857142857143,0.216666666666667,0.303571428571429,0.525423728813559,0.174603174603175
121,0.766666666666667,0.672131147540984,0.555555555555556,0.327586206896552,0.475409836065574,0.107142857142857,0.316666666666667,0.410714285714286,0.525423728813559,0.0952380952380952
122,0.15,0.131147540983607,0.296296296296296,0.448275862068966,0.344262295081967,0.625,0.25,0.25,0.288135593220339,0.571428571428571
123,0.35,0.344262295081967,0.5,0.637931034482759,0.688524590163934,0.75,0.333333333333333,0.607142857142857,0.271186440677966,0.523809523809524
124,0.316666666666667,0.377049180327869,0.240740740740741,0.258620689655172,0.245901639344262,0.0714285714285714,0.316666666666667,0.125,0.305084745762712,0.206349206349206
125,0.116666666666667,0.163934426229508,0.351851851851852,0.310344827586207,0.409836065573771,0.517857142857143,0.316666666666667,0.0714285714285714,0.372881355932203,0.396825396825397
126,0.233333333333333,0.278688524590164,0.259259259259259,0.172413793103448,0.459016393442623,0.142857142857143,0.266666666666667,0.232142857142857,0.372881355932203,0.206349206349206
127,0.2,0.213114754098361,0.203703703703704,0.0862068965517241,0.131147540983607,0.107142857142857,0.2,0.178571428571429,0.288135593220339,0.0952380952380952
128,0.3,0.311475409836066,0.37037037037037,0.396551724137931,0.409836065573771,0.267857142857143,0.383333333333333,0.5,0.23728813559322,0.365079365079365
129,0.0833333333333333,0.163934426229508,0.185185185185185,0.189655172413793,0.409836065573771,0.0892857142857143,0.25,0.160714285714286,0.220338983050847,0.619047619047619
130,0.116666666666667,0.147540983606557,0.111111111111111,0.137931034482759,0.114754098360656,0.321428571428571,0.25,0.160714285714286,0.338983050847458,0.396825396825397
131,0.166666666666667,0.245901639344262,0.388888888888889,0.379310344827586,0.147540983606557,0.375,0.183333333333333,0.267857142857143,0.525423728813559,0.253968253968254
132,0.116666666666667,0.163934426229508,0.203703703703704,0.120689655172414,0.245901639344262,0.232142857142857,0.383333333333333,0.357142857142857,0.271186440677966,0.349206349206349
133,0.316666666666667,0.262295081967213,0.444444444444444,0.551724137931034,0.426229508196721,0.660714285714286,0.483333333333333,0.392857142857143,0.23728813559322,0.619047619047619
134,0.133333333333333,0.19672131147541,0.277777777777778,0.310344827586207,0.131147540983607,0.410714285714286,0.2,0.285714285714286,0.101694915254237,0.507936507936508
135,0.633333333333333,0.557377049180328,0.62962962962963,0.672413793103448,0.459016393442623,0.535714285714286,0.45,0.303571428571429,0.355932203389831,0.111111111111111
136,0.666666666666667,0.459016393442623,0.537037037037037,0.482758620689655,0.409836065573771,0.339285714285714,0.283333333333333,0.285714285714286,0.355932203389831,0.238095238095238
137,0.2,0.213114754098361,0.37037037037037,0.258620689655172,0.19672131147541,0.107142857142857,0.4,0.428571428571429,0.135593220338983,0.317460317460317
