statefp10,countyfp10,tractce10,commarea,geoid10,name10,commarea_n,Community Area Name,namelsad10,Census Tract Match,Fixed Tract Match,block_group_code,MedianHHIncome,a_image_name
17,31,842400,44,17031842400,8424,44,CHATHAM,8424,8424,842400,1.70318E+11,25408,p1s00310.jpg
17,31,440201,44,17031440201,4402.01,44,CHATHAM,4402.01,4402.01,440201,1.70314E+11,37944,p1s00240.jpg
17,31,839000,32,17031839000,8390,32,LOOP,8390,8390,839000,1.70318E+11,84281,p1s00242.jpg
17,31,20801,2,17031020801,208.01,2,WEST RIDGE,208.01,208.01,20801,1.7031E+11,67946,p1s00460.jpg
17,31,40202,4,17031040202,402.02,4,LINCOLN SQUARE,402.02,402.02,40202,1.7031E+11,49574,p1s00458.jpg
17,31,30103,77,17031030103,301.03,77,EDGEWATER,301.03,301.03,30103,1.7031E+11,51066,p1s00552.jpg
17,31,837100,27,17031837100,8371,27,EAST GARFIELD PARK,8371,8371,837100,1.70318E+11,25833,p1s00447.jpg
17,31,837000,27,17031837000,8370,27,EAST GARFIELD PARK,8370,8370,837000,1.70318E+11,12132,p1s00544.jpg
17,31,40401,4,17031040401,404.01,4,LINCOLN SQUARE,404.01,404.01,40401,1.7031E+11,103594,p1s00454.jpg
17,31,160501,16,17031160501,1605.01,16,IRVING PARK,1605.01,1605.01,160501,1.70312E+11,61146,p1s00341.jpg
17,31,831400,25,17031831400,8314,25,AUSTIN,8314,8314,831400,1.70318E+11,33852,p1s00545.jpg
17,31,831300,25,17031831300,8313,25,AUSTIN,8313,8313,831300,1.70318E+11,46333,p1s00546.jpg
17,31,252102,25,17031252102,2521.02,25,AUSTIN,2521.02,2521.02,252102,1.70313E+11,26250,p1s00361.jpg
17,31,200401,20,17031200401,2004.01,20,HERMOSA,2004.01,2004.01,200401,1.70312E+11,36490,p1s00340.jpg
17,31,190402,19,17031190402,1904.02,19,BELMONT CRAGIN,1904.02,1904.02,190402,1.70312E+11,47903,p1s00297.jpg
17,31,832100,6,17031832100,8321,6,LAKE VIEW,8321,8321,832100,1.70318E+11,118625,p1s00298.jpg
17,31,843800,61,17031843800,8438,61,NEW CITY,8438,8438,843800,1.70318E+11,44018,p1s00301.jpg
17,31,842800,58,17031842800,8428,58,BRIGHTON PARK,8428,8428,842800,1.70318E+11,37581,p1s00303.jpg
17,31,833300,28,17031833300,8333,28,NEAR WEST SIDE,8333,8333,833300,1.70318E+11,56136,p1s00244.jpg
17,31,832900,28,17031832900,8329,28,NEAR WEST SIDE,8329,8329,832900,1.70318E+11,55795,p1s00245.jpg
17,31,838000,28,17031838000,8380,28,NEAR WEST SIDE,8380,8380,838000,1.70318E+11,15068,p1s00246.jpg
17,31,838100,28,17031838100,8381,28,NEAR WEST SIDE,8381,8381,838100,1.70318E+11,25469,p1s00248.jpg
17,31,835000,66,17031835000,8350,66,CHICAGO LAWN,8350,8350,835000,1.70318E+11,20160,p1s00547.jpg
17,31,835100,63,17031835100,8351,63,GAGE PARK,8351,8351,835100,1.70318E+11,38800,p1s00548.jpg
17,31,834700,68,17031834700,8347,68,ENGLEWOOD,8347,8347,834700,1.70318E+11,19688,p1s00416.jpg
17,31,831600,18,17031831600,8316,18,MONTCLARE,8316,8316,831600,1.70318E+11,61417,p1s00268.jpg
17,31,831500,19,17031831500,8315,19,BELMONT CRAGIN,8315,8315,831500,1.70318E+11,69464,p1s00271.jpg
17,31,831100,21,17031831100,8311,21,AVONDALE,8311,8311,831100,1.70318E+11,52688,p1s00394.jpg
17,31,831700,15,17031831700,8317,15,PORTAGE PARK,8317,8317,831700,1.70318E+11,62130,p1s00397.jpg
17,31,440202,44,17031440202,4402.02,44,CHATHAM,4402.02,4402.02,440202,1.70314E+11,79655,p1s00398.jpg
17,31,440102,44,17031440102,4401.02,44,CHATHAM,4401.02,4401.02,440102,1.70314E+11,20077,p1s00400.jpg
17,31,430102,43,17031430102,4301.02,43,SOUTH SHORE,4301.02,4301.02,430102,1.70314E+11,39234,p1s00401.jpg
17,31,836300,41,17031836300,8363,41,HYDE PARK,8363,8363,836300,1.70318E+11,57578,p1s00522.jpg
17,31,730202,73,17031730202,7302.02,73,WASHINGTON HEIGHTS,7302.02,7302.02,730202,1.70317E+11,57321,p1s00440.jpg
17,31,63302,6,17031063302,633.02,6,LAKE VIEW,633.02,633.02,63302,1.70311E+11,74554,p1s00426.jpg
17,31,835800,38,17031835800,8358,38,GRAND BOULEVARD,8358,8358,835800,1.70318E+11,66944,p1s00421.jpg
17,31,835900,38,17031835900,8359,38,GRAND BOULEVARD,8359,8359,835900,1.70318E+11,48882,p1s00422.jpg
17,31,834500,40,17031834500,8345,40,WASHINGTON PARK,8345,8345,834500,1.70318E+11,32756,p1s00521.jpg
17,31,843600,38,17031843600,8436,38,GRAND BOULEVARD,8436,8436,843600,1.70318E+11,50272,p1s00524.jpg
17,31,831800,13,17031831800,8318,13,NORTH PARK,8318,8318,831800,1.70318E+11,48355,p1s00528.jpg
17,31,836800,27,17031836800,8368,27,EAST GARFIELD PARK,8368,8368,836800,1.70318E+11,9490,p1s00431.jpg
17,31,836700,23,17031836700,8367,23,HUMBOLDT PARK,8367,8367,836700,1.70318E+11,38404,p1s00433.jpg
17,31,832200,22,17031832200,8322,22,LOGAN SQUARE,8322,8322,832200,1.70318E+11,108750,p1s00434.jpg
17,31,831000,22,17031831000,8310,22,LOGAN SQUARE,8310,8310,831000,1.70318E+11,163566,p1s00436.jpg
17,31,832400,22,17031832400,8324,22,LOGAN SQUARE,8324,8324,832400,1.70318E+11,93281,p1s00437.jpg
17,31,770902,76,17031770902,7709.02,76,OHARE,7709.02,7709.02,770902,1.70318E+11,79205,p1s00439.jpg
17,31,660301,66,17031660301,6603.01,66,CHICAGO LAWN,6603.01,6603.01,660301,1.70317E+11,24230,p1s00442.jpg
17,31,660302,66,17031660302,6603.02,66,CHICAGO LAWN,6603.02,6603.02,660302,1.70317E+11,24451,p1s00443.jpg
17,31,252201,25,17031252201,2522.01,25,AUSTIN,2522.01,2522.01,252201,1.70313E+11,30625,p1s00424.jpg
17,31,70103,7,17031070103,701.03,7,LINCOLN PARK,701.03,701.03,70103,1.70311E+11,70214,p1s00428.jpg
17,31,220701,22,17031220701,2207.01,22,LOGAN SQUARE,2207.01,2207.01,220701,1.70312E+11,76406,p1s00430.jpg
17,31,301802,30,17031301802,3018.02,30,SOUTH LAWNDALE,3018.02,3018.02,301802,1.70313E+11,40789,p1s00267.jpg
17,31,530502,53,17031530502,5305.02,53,WEST PULLMAN,5305.02,5305.02,530502,1.70315E+11,54883,p1s00404.jpg
17,31,81100,8,17031081100,811,8,NEAR NORTH SIDE,811,811,81100,1.70311E+11,131250,p1s00124.jpg
17,31,490901,49,17031490901,4909.01,49,ROSELAND,4909.01,4909.01,490901,1.70315E+11,38702,p1s00403.jpg
17,31,650302,65,17031650302,6503.02,65,WEST LAWN,6503.02,6503.02,650302,1.70317E+11,48304,p1s00405.jpg
17,31,700501,70,17031700501,7005.01,70,ASHBURN,7005.01,7005.01,700501,1.70317E+11,63204,p1s00408.jpg
17,31,510300,51,17031510300,5103,51,SOUTH DEERING,5103,5103,510300,1.70315E+11,29835,p1s00117.jpg
17,31,500200,50,17031500200,5002,50,PULLMAN,5002,5002,500200,1.70315E+11,25772,p1s00116.jpg
17,31,140800,14,17031140800,1408,14,ALBANY PARK,1408,1408,140800,1.70311E+11,85097,p1s00213.jpg
17,31,150200,15,17031150200,1502,15,PORTAGE PARK,1502,1502,150200,1.70312E+11,72734,p1s00218.jpg
17,31,150300,15,17031150300,1503,15,PORTAGE PARK,1503,1503,150300,1.70312E+11,46786,p1s00049.jpg
17,31,670700,67,17031670700,6707,67,WEST ENGLEWOOD,6707,6707,670700,1.70317E+11,23980,p1s00132.jpg
17,31,670800,67,17031670800,6708,67,WEST ENGLEWOOD,6708,6708,670800,1.70317E+11,31250,p1s00090.jpg
17,31,670900,67,17031670900,6709,67,WEST ENGLEWOOD,6709,6709,670900,1.70317E+11,26339,p1s00167.jpg
17,31,671200,67,17031671200,6712,67,WEST ENGLEWOOD,6712,6712,671200,1.70317E+11,31331,p1s00091.jpg
17,31,671400,67,17031671400,6714,67,WEST ENGLEWOOD,6714,6714,671400,1.70317E+11,23444,p1s00092.jpg
17,31,671500,67,17031671500,6715,67,WEST ENGLEWOOD,6715,6715,671500,1.70317E+11,26638,p1s00094.jpg
17,31,230600,23,17031230600,2306,23,HUMBOLDT PARK,2306,2306,230600,1.70312E+11,44000,p1s00074.jpg
17,31,300800,30,17031300800,3008,30,SOUTH LAWNDALE,3008,3008,300800,1.70313E+11,28250,p1s00014.jpg
17,31,161000,16,17031161000,1610,16,IRVING PARK,1610,1610,161000,1.70312E+11,80962,p1s00492.jpg
17,31,670100,67,17031670100,6701,67,WEST ENGLEWOOD,6701,6701,670100,1.70317E+11,27917,p1s00089.jpg
17,31,190900,19,17031190900,1909,19,BELMONT CRAGIN,1909,1909,190900,1.70312E+11,54750,p1s00077.jpg
17,31,150600,15,17031150600,1506,15,PORTAGE PARK,1506,1506,150600,1.70312E+11,84946,p1s00537.jpg
17,31,821402,53,17031821402,8214.02,53,WEST PULLMAN,8214.02,8214.02,821402,1.70318E+11,49280,p1s00023.jpg
17,31,660600,66,17031660600,6606,66,CHICAGO LAWN,6606,6606,660600,1.70317E+11,26818,p1s00086.jpg
17,31,20500,2,17031020500,205,2,WEST RIDGE,205,205,20500,1.7031E+11,24223,p1s00414.jpg
17,31,221100,22,17031221100,2211,22,LOGAN SQUARE,2211,2211,221100,1.70312E+11,81207,p1s00064.jpg
17,31,420600,42,17031420600,4206,42,WOODLAWN,4206,4206,420600,1.70314E+11,15881,p1s00289.jpg
17,31,823304,75,17031823304,8233.04,75,MORGAN PARK,8233.04,8233.04,823304,1.70318E+11,97589,p1s00029.jpg
17,31,640400,64,17031640400,6404,64,CLEARING,6404,6404,640400,1.70316E+11,81193,p1s00501.jpg
17,31,640800,64,17031640800,6408,64,CLEARING,6408,6408,640800,1.70316E+11,49152,p1s00166.jpg
17,31,670400,67,17031670400,6704,67,WEST ENGLEWOOD,6704,6704,670400,1.70317E+11,28625,p1s00448.jpg
17,31,222500,22,17031222500,2225,22,LOGAN SQUARE,2225,2225,222500,1.70312E+11,90750,p1s00317.jpg
17,31,222800,22,17031222800,2228,22,LOGAN SQUARE,2228,2228,222800,1.70312E+11,50313,p1s00318.jpg
17,31,160200,16,17031160200,1602,16,IRVING PARK,1602,1602,160200,1.70312E+11,94643,p1s00348.jpg
17,31,221200,22,17031221200,2212,22,LOGAN SQUARE,2212,2212,221200,1.70312E+11,120588,p1s00067.jpg
17,31,222200,22,17031222200,2222,22,LOGAN SQUARE,2222,2222,222200,1.70312E+11,159375,p1s00315.jpg
17,31,750200,75,17031750200,7502,75,MORGAN PARK,7502,7502,750200,1.70318E+11,145588,p1s00053.jpg
17,31,430200,43,17031430200,4302,43,SOUTH SHORE,4302,4302,430200,1.70314E+11,34309,p1s00313.jpg
17,31,170400,17,17031170400,1704,17,DUNNING,1704,1704,170400,1.70312E+11,75658,p1s00351.jpg
17,31,381900,38,17031381900,3819,38,GRAND BOULEVARD,3819,3819,381900,1.70314E+11,42375,p1s00286.jpg
17,31,180100,18,17031180100,1801,18,MONTCLARE,1801,1801,180100,1.70312E+11,60536,p1s00358.jpg
17,31,680500,68,17031680500,6805,68,ENGLEWOOD,6805,6805,680500,1.70317E+11,24779,p1s00097.jpg
17,31,681100,68,17031681100,6811,68,ENGLEWOOD,6811,6811,681100,1.70317E+11,37130,p1s00452.jpg
17,31,170600,17,17031170600,1706,17,DUNNING,1706,1706,170600,1.70312E+11,63000,p1s00139.jpg
17,31,430300,43,17031430300,4303,43,SOUTH SHORE,4303,4303,430300,1.70314E+11,16536,p1s00137.jpg
17,31,431400,43,17031431400,4314,43,SOUTH SHORE,4314,4314,431400,1.70314E+11,58444,p1s00446.jpg
17,31,420200,42,17031420200,4202,42,WOODLAWN,4202,4202,420200,1.70314E+11,29205,p1s00288.jpg
17,31,440800,44,17031440800,4408,44,CHATHAM,4408,4408,440800,1.70314E+11,25625,p1s00290.jpg
17,31,450300,45,17031450300,4503,45,AVALON PARK,4503,4503,450300,1.70315E+11,50000,p1s00293.jpg
17,31,680600,68,17031680600,6806,68,ENGLEWOOD,6806,6806,680600,1.70317E+11,52632,p1s00106.jpg
17,31,680900,68,17031680900,6809,68,ENGLEWOOD,6809,6809,680900,1.70317E+11,20602,p1s00449.jpg
17,31,240200,24,17031240200,2402,24,WEST TOWN,2402,2402,240200,1.70312E+11,148009,p1s00322.jpg
17,31,230700,23,17031230700,2307,23,HUMBOLDT PARK,2307,2307,230700,1.70312E+11,46667,p1s00319.jpg
17,31,170800,17,17031170800,1708,17,DUNNING,1708,1708,170800,1.70312E+11,55455,p1s00355.jpg
17,31,200300,20,17031200300,2003,20,HERMOSA,2003,2003,200300,1.70312E+11,53365,p1s00078.jpg
17,31,210700,21,17031210700,2107,21,AVONDALE,2107,2107,210700,1.70312E+11,54722,p1s00061.jpg
17,31,691300,69,17031691300,6913,69,GREATER GRAND CROSSING,6913,6913,691300,1.70317E+11,50167,p1s00168.jpg
17,31,411100,41,17031411100,4111,41,HYDE PARK,4111,4111,411100,1.70314E+11,121500,p1s00287.jpg
17,31,460400,46,17031460400,4604,46,SOUTH CHICAGO,4604,4604,460400,1.70315E+11,25580,p1s00484.jpg
17,31,241400,24,17031241400,2414,24,WEST TOWN,2414,2414,241400,1.70312E+11,144514,p1s00323.jpg
17,31,242000,24,17031242000,2420,24,WEST TOWN,2420,2420,242000,1.70312E+11,74146,p1s00464.jpg
17,31,711300,71,17031711300,7113,71,AUBURN GRESHAM,7113,7113,711300,1.70317E+11,34146,p1s00327.jpg
17,31,10202,1,17031010202,102.02,1,ROGERS PARK,102.02,102.02,10202,1.7031E+11,47024,p1s00532.jpg
17,31,480200,48,17031480200,4802,48,CALUMET HEIGHTS,4802,4802,480200,1.70315E+11,55250,p1s00111.jpg
17,31,480400,48,17031480400,4804,48,CALUMET HEIGHTS,4804,4804,480400,1.70315E+11,90931,p1s00292.jpg
17,31,480500,48,17031480500,4805,48,CALUMET HEIGHTS,4805,4805,480500,1.70315E+11,20781,p1s00011.jpg
17,31,691400,69,17031691400,6914,69,GREATER GRAND CROSSING,6914,6914,691400,1.70317E+11,44659,p1s00277.jpg
17,31,410900,41,17031410900,4109,41,HYDE PARK,4109,4109,410900,1.70314E+11,57308,p1s00136.jpg
17,31,460200,46,17031460200,4602,46,SOUTH CHICAGO,4602,4602,460200,1.70315E+11,19342,p1s00291.jpg
17,31,460700,46,17031460700,4607,46,SOUTH CHICAGO,4607,4607,460700,1.70315E+11,29293,p1s00206.jpg
17,31,690900,69,17031690900,6909,69,GREATER GRAND CROSSING,6909,6909,690900,1.70317E+11,66994,p1s00274.jpg
17,31,491000,49,17031491000,4910,49,ROSELAND,4910,4910,491000,1.70315E+11,58750,p1s00208.jpg
17,31,510200,51,17031510200,5102,51,SOUTH DEERING,5102,5102,510200,1.70315E+11,43611,p1s00161.jpg
17,31,711100,71,17031711100,7111,71,AUBURN GRESHAM,7111,7111,711100,1.70317E+11,42321,p1s00282.jpg
17,31,711200,71,17031711200,7112,71,AUBURN GRESHAM,7112,7112,711200,1.70317E+11,65833,p1s00284.jpg
17,31,81402,8,17031081402,814.02,8,NEAR NORTH SIDE,814.02,814.02,81402,1.70311E+11,156801,p1s00530.jpg
17,31,61902,6,17031061902,619.02,6,LAKE VIEW,619.02,619.02,61902,1.70311E+11,69063,p1s00534.jpg
17,31,242400,24,17031242400,2424,24,WEST TOWN,2424,2424,242400,1.70312E+11,94861,p1s00326.jpg
17,31,720500,72,17031720500,7205,72,BEVERLY,7205,7205,720500,1.70317E+11,109063,p1s00016.jpg
17,31,710300,71,17031710300,7103,71,AUBURN GRESHAM,7103,7103,710300,1.70317E+11,35568,p1s00015.jpg
17,31,351100,35,17031351100,3511,35,DOUGLAS,3511,3511,351100,1.70314E+11,53409,p1s00419.jpg
17,31,490600,49,17031490600,4906,49,ROSELAND,4906,4906,490600,1.70315E+11,37176,p1s00112.jpg
17,31,490800,49,17031490800,4908,49,ROSELAND,4908,4908,490800,1.70315E+11,25435,p1s00113.jpg
17,31,710500,71,17031710500,7105,71,AUBURN GRESHAM,7105,7105,710500,1.70317E+11,32448,p1s00279.jpg
17,31,560900,56,17031560900,5609,56,GARFIELD RIDGE,5609,5609,560900,1.70316E+11,127171,p1s00503.jpg
17,31,730500,73,17031730500,7305,73,WASHINGTON HEIGHTS,7305,7305,730500,1.70317E+11,55833,p1s00329.jpg
17,31,730700,73,17031730700,7307,73,WASHINGTON HEIGHTS,7307,7307,730700,1.70317E+11,51848,p1s00295.jpg
17,31,520300,52,17031520300,5203,52,EAST SIDE,5203,5203,520300,1.70315E+11,43333,p1s00121.jpg
17,31,560700,56,17031560700,5607,56,GARFIELD RIDGE,5607,5607,560700,1.70316E+11,61875,p1s00487.jpg
17,31,720600,72,17031720600,7206,72,BEVERLY,7206,7206,720600,1.70317E+11,113239,p1s00018.jpg
17,31,31700,3,17031031700,317,3,UPTOWN,317,317,31700,1.7031E+11,42500,p1s00035.jpg
17,31,580300,58,17031580300,5803,58,BRIGHTON PARK,5803,5803,580300,1.70316E+11,48110,p1s00505.jpg
17,31,260300,26,17031260300,2603,26,WEST GARFIELD PARK,2603,2603,260300,1.70313E+11,23289,p1s00070.jpg
17,31,81500,8,17031081500,815,8,NEAR NORTH SIDE,815,815,81500,1.70311E+11,171538,p1s00096.jpg
17,31,730100,73,17031730100,7301,73,WASHINGTON HEIGHTS,7301,7301,730100,1.70317E+11,42500,p1s00019.jpg
17,31,570500,57,17031570500,5705,57,ARCHER HEIGHTS,5705,5705,570500,1.70316E+11,52109,p1s00162.jpg
17,31,90300,9,17031090300,903,9,EDISON PARK,903,903,90300,1.70311E+11,108563,p1s00125.jpg
17,31,100200,10,17031100200,1002,10,NORWOOD PARK,1002,1002,100200,1.70311E+11,106620,p1s00039.jpg
17,31,600900,60,17031600900,6009,60,BRIDGEPORT,6009,6009,600900,1.70316E+11,55625,p1s00198.jpg
17,31,611200,61,17031611200,6112,61,NEW CITY,6112,6112,611200,1.70316E+11,21777,p1s00165.jpg
17,31,62900,6,17031062900,629,6,LAKE VIEW,629,629,62900,1.70311E+11,111029,p1s00058.jpg
17,31,63000,6,17031063000,630,6,LAKE VIEW,630,630,63000,1.70311E+11,85000,p1s00068.jpg
17,31,271500,27,17031271500,2715,27,EAST GARFIELD PARK,2715,2715,271500,1.70313E+11,37109,p1s00073.jpg
17,31,611600,61,17031611600,6116,61,NEW CITY,6116,6116,611600,1.70316E+11,20438,p1s00509.jpg
17,31,110200,11,17031110200,1102,11,JEFFERSON PARK,1102,1102,110200,1.70311E+11,97361,p1s00081.jpg
17,31,570300,57,17031570300,5703,57,ARCHER HEIGHTS,5703,5703,570300,1.70316E+11,36302,p1s00108.jpg
17,31,261000,26,17031261000,2610,26,WEST GARFIELD PARK,2610,2610,261000,1.70313E+11,50962,p1s00071.jpg
17,31,270500,27,17031270500,2705,27,EAST GARFIELD PARK,2705,2705,270500,1.70313E+11,15571,p1s00072.jpg
17,31,62700,6,17031062700,627,6,LAKE VIEW,627,627,62700,1.70311E+11,235833,p1s00145.jpg
17,31,600600,60,17031600600,6006,60,BRIDGEPORT,6006,6006,600600,1.70316E+11,65169,p1s00163.jpg
17,31,61200,6,17031061200,612,6,LAKE VIEW,612,612,61200,1.70311E+11,138000,p1s00056.jpg
17,31,61500,6,17031061500,615,6,LAKE VIEW,615,615,61500,1.70311E+11,123409,p1s00057.jpg
17,31,100300,10,17031100300,1003,10,NORWOOD PARK,1003,1003,100300,1.70311E+11,85417,p1s00043.jpg
17,31,120400,12,17031120400,1204,12,FOREST GLEN,1204,1204,120400,1.70311E+11,82500,p1s00047.jpg
17,31,140400,14,17031140400,1404,14,ALBANY PARK,1404,1404,140400,1.70311E+11,90250,p1s00211.jpg
17,31,300700,30,17031300700,3007,30,SOUTH LAWNDALE,3007,3007,300700,1.70313E+11,41346,p1s00013.jpg
17,31,282700,28,17031282700,2827,28,NEAR WEST SIDE,2827,2827,282700,1.70313E+11,99091,p1s00311.jpg
17,31,283100,28,17031283100,2831,28,NEAR WEST SIDE,2831,2831,283100,1.70313E+11,43304,p1s00012.jpg
17,31,283800,28,17031283800,2838,28,NEAR WEST SIDE,2838,2838,283800,1.70313E+11,85865,p1s00107.jpg
17,31,630300,63,17031630300,6303,63,GAGE PARK,6303,6303,630300,1.70316E+11,49800,p1s00201.jpg
17,31,71200,7,17031071200,712,7,LINCOLN PARK,712,712,71200,1.70311E+11,116875,p1s00069.jpg
17,31,130300,13,17031130300,1303,13,NORTH PARK,1303,1303,130300,1.70311E+11,56786,p1s00126.jpg
